addr,name,subsystem,conf,size,ninsn,callers,purpose
0x020292ba,sync_window,STORAGE_FS,high,66,27,0,write back dirty cached sector window
0x020292fc,move_window,STORAGE_FS,high,86,34,0,sync then load requested sector into window
0x02029352,mount_volume,STORAGE_FS,high,952,325,0,"parse BPB, detect FAT12/16/32, register volume"
0x0202970a,st_dword,MEMLIB,high,16,8,0,store 32-bit value as four little-endian bytes
0x0202971a,st_qword,MEMLIB,high,64,25,0,store 64-bit value as eight little-endian bytes
0x0202975a,st_word,MEMLIB,high,8,4,0,store 16-bit value as two little-endian bytes
0x02029762,f_mkfs,STORAGE_FS,high,1990,658,0,"format volume: pick geometry, write BPB/FAT/root"
0x02029f28,dir_sdi,STORAGE_FS,high,58,21,0,"set directory cursor to index, resolve sector"
0x02029f62,pow2_mask,MATHLIB,high,10,4,0,return (1<<n)-1 bitmask helper
0x02029f6c,get_fat,STORAGE_FS,high,114,42,0,"read FAT entry, exFAT contiguous-chain fast path"
0x02029fde,change_bitmap,STORAGE_FS,high,188,65,0,set/clear bits in exFAT allocation bitmap
0x0202a09a,put_fat,STORAGE_FS,high,318,114,0,write FAT12/16/32 entry for a cluster
0x0202a1d8,link_fat_chain,STORAGE_FS,med,50,22,0,loop put_fat linking contiguous cluster chain
0x0202a20a,create_chain,STORAGE_FS,high,606,208,0,"find free cluster, extend or create chain"
0x0202a468,zero_cluster,STORAGE_FS,med,134,51,0,zero-fill all sectors of a fresh cluster
0x0202a4ee,dir_next,STORAGE_FS,high,264,92,0,"advance directory cursor, allocate cluster if create"
0x0202a5f6,get_fileinfo,STORAGE_FS,high,102,40,0,fill file-info struct from raw directory entry
0x0202a65c,name_buf_tolower,MEMLIB,med,38,14,0,lowercase A-Z letters over n-byte buffer
0x0202a682,name_buf_toupper,MEMLIB,med,38,14,0,uppercase a-z letters over n-byte buffer
0x0202a6a8,dir_read,STORAGE_FS,med,1192,428,0,"scan directory entries, assemble LFN, fill file info"
0x0202ab50,dir_alloc,STORAGE_FS,med,170,65,0,find n contiguous free directory entry slots
0x0202abfa,sync_fs,STORAGE_FS,high,138,48,0,write FAT32 FSInfo sector when counts dirty
0x0202ac84,f_setlabel,STORAGE_FS,high,312,114,0,create or update volume label directory entry
0x0202adbc,f_getfree,STORAGE_FS,high,316,110,0,"count free clusters by scanning FAT, cache result"
0x0202aef8,fatfs_obj_alloc,STORAGE_FS,low,14,4,0,malloc 812-byte filesystem work object
0x0202af06,fatfs_obj_free,STORAGE_FS,low,10,3,0,free filesystem work object wrapper
0x0202af10,create_name,STORAGE_FS,high,508,183,0,parse path into SFN pattern plus LFN
0x0202b10c,fmt_dec3,MEMLIB,med,42,14,0,format value as three ASCII decimal digits
0x0202b136,count_wildcards,STORAGE_FS,med,34,14,0,count '*' wildcard chars in pattern string
0x0202b158,match_wildcard_ci,STORAGE_FS,med,198,63,0,case-insensitive wildcard compare via uppercased copies
0x0202b21e,pow10_u32,MATHLIB,high,20,8,0,return 10 raised to n
0x0202b232,scan_max_file_suffix,STORAGE_FS,med,316,110,0,"scan dir for pattern, track max numeric suffix"
0x0202b36e,file_obj_reset,STORAGE_FS,low,104,36,0,"reinit file object, preserve name and flags"
0x0202b3d6,dir_block_compact,STORAGE_FS,low,194,73,0,scan/compact 32-byte dir entries in sector buffer
0x0202b498,utf16_name_terminate_len,STORAGE_FS,med,56,23,0,"terminate UTF-16 name at 0/0xFFFF, return length"
0x0202b4d0,fat83_wildcard_match,STORAGE_FS,high,106,39,0,match 8.3 name allowing '*' and '?' wildcards
0x0202b53a,fat_dir_lookup,STORAGE_FS,med,146,53,0,lookup name in directory with wildcard fallback compare
0x0202b5cc,fat_name_len_trim_space,STORAGE_FS,high,26,10,0,length of name before first space character
0x0202b5e6,fat_name_to_83,STORAGE_FS,high,88,31,0,convert filename to padded uppercase 8.3 format
0x0202b63e,fs_dirpos_copy_or_clear,STORAGE_FS,low,20,10,0,copy 12-byte dir position or zero 44-byte struct
0x0202b652,fatfs_walk_path,STORAGE_FS,med,162,68,0,"walk directory tree by path components, return entry"
0x0202b6f4,fat_dirent_set_cluster,STORAGE_FS,high,24,10,0,store cluster number into FAT dir entry
0x0202b70c,fat_pack_current_datetime,STORAGE_FS,med,112,40,0,build packed FAT date/time from system time
0x0202b77c,exfat_release_cluster_chain,STORAGE_FS,low,52,23,0,free cluster chain when stream-extension flags allow
0x0202b7b0,fs_dirpos_copy_lock,STORAGE_FS,low,24,9,0,copy 20-byte dir position then invoke lock helper
0x0202b7c8,exfat_entry_set_checksum,STORAGE_FS,high,42,16,0,"exFAT entry-set rotate-add checksum, skipping bytes 2-3"
0x0202b7f2,exfat_read_verify_entry_set,STORAGE_FS,med,248,95,0,read exFAT entry set and verify its checksum
0x0202b8ea,exfat_write_entry_set,STORAGE_FS,med,130,52,0,write exFAT entry set with checksum to disk
0x0202b96c,exfat_build_entry_set,STORAGE_FS,high,282,108,0,build 0x85/0xC0/0xC1 entries and compute name hash
0x0202ba86,exfat_create_dirent,STORAGE_FS,med,568,204,0,create new exFAT file/dir entry set with timestamps
0x0202bcbe,fat_shortname_checksum,STORAGE_FS,high,32,12,0,FAT LFN 8.3 shortname checksum over 11 bytes
0x0202bcde,fat_create_lfn_entries,STORAGE_FS,high,330,132,0,write FAT LFN plus short entries for new file
0x0202be28,fat_extend_cluster_chain,STORAGE_FS,med,158,59,0,"walk or extend cluster chain, update allocation count"
0x0202bec6,fatfs_mkdir,STORAGE_FS,med,684,252,0,"create directory with dot entries, LFN and exFAT"
0x0202c172,fat_dirent_get_cluster,STORAGE_FS,high,40,16,0,read first-cluster number from FAT dir entry
0x0202c19a,fatfs_open,STORAGE_FS,med,934,336,0,"open/create file by path, handling truncate and exFAT"
0x0202c540,fatfs_open_path_sfn,STORAGE_FS,med,1238,426,0,"resolve path, generate 8.3 numeric-tail aliases, open"
0x0202ca16,remquol,MATHLIB,high,16,7,0,"libm remainder and quotient, long double variant"
0x0202ca26,fatfs_fopen,STORAGE_FS,med,122,53,0,open file handle from r/w/rb mode string
0x0202caa0,fat_next_cluster_cached,STORAGE_FS,med,166,60,0,FAT next-cluster lookup with per-type sector caching
0x0202cb46,fatfs_read,STORAGE_FS,med,508,177,0,read file data via cluster runs and sector cache
0x0202cd42,fatfs_sync_entry,STORAGE_FS,med,468,173,0,"flush file: update dir entry size, cluster, timestamps"
0x0202cf16,fatfs_write,STORAGE_FS,med,684,238,0,"write file data, extending cluster chain as needed"
0x0202d1c2,fatfs_lseek,STORAGE_FS,med,604,212,0,seek file position across cluster chain
0x0202d41e,fatfs_readdir,STORAGE_FS,med,306,106,0,"read next directory entry, extracting LFN/exFAT name"
0x0202d550,fatfs_get_entry_name,STORAGE_FS,low,430,158,0,format current entry name from 8.3 or LFN
0x0202d6fe,fatfs_build_dir_path,STORAGE_FS,med,658,241,0,build absolute path string from dir-handle component stack
0x0202d990,fatfs_rename,STORAGE_FS,med,704,252,0,"rename: delete old entries, recreate with new name"
0x0202dc50,fatfs_fclose,STORAGE_FS,med,224,80,0,"close file: sync entry, free cache and handle"
0x0202dd30,fatfs_close_release,STORAGE_FS,low,34,15,0,close file then free handle and volume reference
0x0202dd52,fatfs_cache_put,STORAGE_FS,low,232,90,0,"release cached sector node, renumber linked cache list"
0x0202de3a,fatfs_mark_dirent_deleted,STORAGE_FS,med,100,40,0,mark dir entry chain with 0xE5 deleted marker
0x0202de9e,fatfs_unlink,STORAGE_FS,med,604,199,0,delete file entry set and release its clusters
0x0202e0fa,fatfs_alloc_volume_struct,STORAGE_FS,low,14,4,0,allocate 760-byte filesystem struct via malloc
0x0202e108,fscan_ctx_alloc_tsort,STORAGE_FS,low,14,4,0,alloc 2808B scan ctx incl. 2048B node pool
0x0202e116,vfs_fopen,STORAGE_FS,med,122,48,0,"resolve path, alloc 804B file ctx, fill FILE"
0x0202e190,fat_path_component_match,STORAGE_FS,med,82,36,0,match '/'-separated path components against dir names
0x0202e1e2,fat_dir_walk,STORAGE_FS,med,772,271,0,"recursive dir walk: attr filter, wildcard, callback, path stack"
0x0202e4e6,fat_fscan_init,STORAGE_FS,med,232,76,0,"init scan ctx + node pool, open path, start walk"
0x0202e5ce,fat_fscan_create,STORAGE_FS,med,422,148,0,"fscan/fscan_interrupt constructors, parse sort/attr args"
0x0202e774,fat_lfn_collect,STORAGE_FS,low,154,56,0,collect UCS-2 name pieces from LFN dir entries
0x0202e80e,fat_fill_name_bufs,STORAGE_FS,low,180,66,0,fill entry long-name buffers under device lock
0x0202e8c2,fat_file_rebind,STORAGE_FS,low,66,24,0,"rebind file cursor fields, flag dir/vol attr"
0x0202e904,fat_fcopy,STORAGE_FS,med,74,22,0,"clone file handle regions (fcopy op), rebind cursor"
0x0202e94e,fat_dir_match_count,STORAGE_FS,low,112,41,0,count dir entries matching filter flags and pattern
0x0202e9be,fat_get_file_num,STORAGE_FS,low,120,40,0,"snapshot ctx, count matching entries without cursor move"
0x0202ea36,fat_fsel_resolve,STORAGE_FS,low,184,63,0,"open selected dir entry as FILE, fetch names"
0x0202eaee,fat_scan_restart,STORAGE_FS,low,134,57,0,reset scan lists and restart directory walk
0x0202eb74,fat_scan_node_fetch_fwd,STORAGE_FS,low,42,17,0,"fetch cached scan node, restart walk if stale"
0x0202eb9e,fat_scan_node_fetch_back,STORAGE_FS,low,36,17,0,"fetch backward scan node, restart walk if stale"
0x0202ebc2,fat_scan_node_fetch_cur,STORAGE_FS,low,34,16,0,fetch current scan node or restart walk
0x0202ebe4,fat_scan_node_fetch_next,STORAGE_FS,low,34,15,0,fetch next scan node or restart walk
0x0202ec06,fat_scan_node_at,STORAGE_FS,low,100,37,0,locate scan node by index/cluster walking cache list
0x0202ec6a,fat_fsel,STORAGE_FS,high,1302,422,0,file-select dispatcher: first/next/prev/num/path + cycle modes
0x0202f180,fat_fget_attrs,STORAGE_FS,high,112,46,0,fill vfs_attr incl. FAT datetime decode (+1980 epoch)
0x0202f1f0,fat_dirent_rewrite,STORAGE_FS,low,404,155,0,"copy out dir entries, mark 0xE5/attr, flush sectors"
0x0202f384,fat_frename,STORAGE_FS,low,348,128,0,"split dst path, open parent, rewrite child entries (rename)"
0x0202f4e0,fat_fget_folder_info,STORAGE_FS,low,182,68,0,tally file/dir counts for folder info query
0x0202f596,fat_fget_folder_prev,STORAGE_FS,low,150,55,0,tally counts for previous folder after index decrement
0x0202f62c,fat_dirent_fetch_name,STORAGE_FS,low,124,48,0,"read entry sector chain, copy long name into record"
0x0202f6a8,fat_fget_dir_info,STORAGE_FS,med,330,111,0,enumerate dir into 0x20C-byte records with skip/count
0x0202f7f2,fat_fget_file_byname_indir,STORAGE_FS,low,448,155,0,find same-name different-extension file in directory
0x0202f9b2,fat_get_last_file_num,STORAGE_FS,med,160,58,0,"scan numbered filenames, return count and max index"
0x0202fa52,fat_fsave_fat_table,STORAGE_FS,med,160,63,0,build file cluster map for fast seek
0x0202faf2,fat_dirent_write,STORAGE_FS,low,188,70,0,"write dir entry: archive bit, timestamps, flush via device"
0x0202fbae,fat_file_set_size,STORAGE_FS,low,220,81,0,"grow/shrink file cluster chain, update size and entry"
0x0202fc8a,fat_fwrite,STORAGE_FS,low,212,86,0,buffered write split at cluster boundaries
0x0202fd5e,fat_cluster_cache_lookup,STORAGE_FS,low,208,72,0,map file offset to cluster via 5-entry range cache
0x0202fe2e,fat_ioctl,STORAGE_FS,high,1678,646,0,"22-case FS_IOCTL dispatcher: lfn bufs, dir info, seek"
0x020304bc,bt_data_channel_open,BT,low,408,134,0,"register/create BT channel worker, buffers, flow thresholds"
0x02030654,bt_data_channel_close,BT,low,114,37,0,tear down BT channel worker and buffer pool
0x020306c6,bt_sys_event_handler,BT,med,548,188,0,"dispatch SYS_BT_EVENT: conn params, BD_ADDR, timeouts"
0x020308ea,os_module_prepare_poll,RTOS,low,50,22,0,"poll module callback list, min result, zero vetoes"
0x0203091c,os_module_ready_vote,RTOS,low,38,14,0,AND results of registered function-table callbacks
0x02030942,cpu_critical_enter,RTOS,med,114,40,0,"cli, bump nesting counters, hw lockset, mark per-cpu flags"
0x020309b4,spin_lock_timeout,RTOS,med,70,21,0,"acquire hw spinlock, assert/panic on timeout"
0x020309fa,pmu_counter_read_us,POWER,med,130,34,0,"read PMU counter via p33, scale to microseconds"
0x02030a7c,lp_device_suspend_notify,POWER,med,348,122,0,"run suspend ops for named devices, gate PMU power"
0x02030bd8,sleep_enter_save_state,POWER,med,2292,783,0,"save SFR/IRQ state to RAM, arm wake sources"
0x020314cc,low_power_sleep_cycle,POWER,med,692,207,0,"enter and exit sleep, report slept microseconds"
0x02031780,lp_device_resume_notify,POWER,med,304,109,0,"restore PMU shadow, run device resume ops"
0x020318b0,lp_wakeup_drift_fix,POWER,low,360,100,0,"repair tick drift after wake, retrigger resume notify"
0x02031a18,cpu_critical_exit,RTOS,med,114,39,0,"clear per-cpu flags, hw lockclr, sti"
0x02031a8a,spin_unlock,RTOS,med,70,22,0,"release hw spinlock, timestamp the release"
0x02031ad0,__list_del,RTOS,high,6,3,0,unlink list node between prev and next
0x02031ad6,timer_node_clear,RTOS,med,30,9,0,clear flag byte of node in static pool
0x02031af4,sys_timer_scan_task,RTOS,med,778,250,0,"expire sys timers, post messages to task queues"
0x02031dfe,timer_lib_init,RTOS,med,114,38,0,"init timer lists and pool, arm 100ms scan timer"
0x02031e70,usr_timer_scan_task,RTOS,med,720,234,0,"run usr_timer callbacks, repost or delete expired nodes"
0x02032140,vm_area_init,STORAGE_FS,med,848,261,0,"scan VM flash areas, build record offset cache"
0x02032490,vm_id_valid,STORAGE_FS,med,12,5,0,check vm item id below 256
0x0203249c,vm_read,STORAGE_FS,med,1112,349,0,read VM record by id with crc8 verify
0x020328f4,cfg_entry_lookup,STORAGE_FS,low,14,4,0,"find config entry matching tag ""1A1"""
0x02032902,cfg_blob_mount,STORAGE_FS,low,228,80,0,"locate config blob, verify count and crc"
0x020329e6,cfg_id_table_lookup,STORAGE_FS,low,34,12,0,match id in const descending id table
0x02032a08,cfg_tlv_find,STORAGE_FS,med,96,35,0,"walk TLV blob for matching id, verify crc8"
0x02032a68,cfg_tlv_find_dual,STORAGE_FS,med,40,15,0,find TLV record in secondary or primary blob
0x02032a90,cfg_read_by_index,STORAGE_FS,low,118,45,0,read config record payload via index entry
0x02032b06,cfg_read_by_id,STORAGE_FS,med,158,65,0,read config record data and length by id
0x02032ba4,cfg_blob_mount_alt,STORAGE_FS,low,62,23,0,mount second config blob region
0x02032be2,cfg_index_offset_scan,STORAGE_FS,low,46,19,0,sum record lengths to compute item offset
0x02032c10,cfg_item_read_verify,STORAGE_FS,med,1188,395,0,read and crc-verify config item by id
0x020330b4,timer_tick_isr,RTOS,med,754,247,0,"ISR expiring both timer lists, running callbacks"
0x020333a6,lrc_calibration_isr,POWER,med,406,136,0,"average 20 counter samples, update lp clock Hz"
0x0203353c,lp_suspend_ready_check,POWER,low,184,62,0,"verify device list idle, set suspend-ready flag"
0x020335f4,clk_div_ramp_update,SYS,low,398,129,0,ramp 5-bit divider fields in clock SFR
0x02033782,iic_enable_get,PERIPH,low,20,6,0,read enable bit of I2C instance control reg
0x02033796,iic_gate_ctrl,PERIPH,low,54,15,0,clear I2C control bits or set pin config
0x020337cc,irq_ext_pair_mask,PERIPH,low,38,13,0,mask or unmask IRQ pair 148/149 in SFR
0x020337f2,irq_enable_ctrl,PERIPH,med,122,41,0,set or clear IRQ enable bit in icfg bitmap
0x0203386c,iic_hw_init,PERIPH,low,192,65,0,"init I2C instance regs, pins, IRQ pair"
0x0203392c,iic_pnd_get,PERIPH,low,28,9,0,read I2C interrupt pending status bit
0x02033948,iic_pnd2_get,PERIPH,low,28,9,0,read I2C secondary pending status bit
0x02033964,iic_busy_get,PERIPH,low,20,6,0,read I2C busy flag bit16
0x02033978,audio_slot_enable_locked,AUDIO_OUT,low,114,38,0,set per-slot enable bit in audio SFR under lock
0x020339ea,audio_channel_open,AUDIO_OUT,low,120,43,0,"init audio channel slot: IRQ, SFR, state struct"
0x02033a62,audio_slot_status_read,AUDIO_OUT,low,28,9,0,read per-slot busy status bit from audio SFR
0x02033a7e,audio_sfr_flag_read,AUDIO_OUT,low,14,4,0,read audio block status flag bit 18
0x02033a8c,taskq_post_msg,RTOS,med,164,55,0,post typed message into task queue ring buffer
0x02033b30,audio_chan_fsm_run,AUDIO_OUT,low,3362,1070,0,dual-channel audio driver state machine with IRQ handlers
0x02034852,lowpower_idle_try,POWER,low,122,39,0,low-power idle condition check and hook under lock
0x020348cc,lowpower_veto_list_check,POWER,low,36,15,0,walk registered sleep callbacks checking for veto
0x020348f0,lowpower_sleep_enter,POWER,low,312,99,0,take sleep-inhibit vote then run sleep entry checks
0x02034a28,audio_ana_field_write_a,AUDIO_OUT,low,20,6,0,write 8-bit field of analog control SFR
0x02034a3c,audio_ana_field_write_b,AUDIO_OUT,low,22,7,0,write 7-bit field of analog control SFR
0x02034a52,audio_ana_strobe_seq,AUDIO_OUT,low,156,47,0,toggle analog control bits with timed delay loops
0x02034aee,audio_ana_status_read,AUDIO_OUT,low,22,7,0,read analog calibration status bits via RAM stub
0x02034b04,trim_code_lookup,AUDIO_OUT,low,40,14,0,find first trim table entry above given value
0x02034b2c,audio_dac_trim_calibrate,AUDIO_OUT,med,268,90,0,47-step analog trim sweep building midpoint table
0x02034c38,audio_reg_commit_strobe,AUDIO_OUT,low,48,12,0,pulse commit bit five times on audio SFR
0x02034c68,audio_coeff_table_upload,AUDIO_OUT,low,410,125,0,upload 256-entry 64-bit coefficient table to hardware
0x02034e02,audio_ana_regs_preset,AUDIO_OUT,low,208,54,0,bulk bit set/clear preset of analog block SFRs
0x02034ed2,lowpower_inhibit_release,POWER,low,316,98,0,release sleep-inhibit count; tail is periodic trim monitor
0x0203500e,sub_0203500e,UNKNOWN,low,20,6,0,null-default thunk tail-calling helper 0x73fce
0x02035022,sub_02035022,UNKNOWN,low,20,6,0,arg-shuffling thunk with fixed rodata object
0x02035036,taskq_post_u8,RTOS,low,14,6,0,post byte payload message type 16 to task queue
0x02035044,os_queue_drain_locked,RTOS,low,126,46,0,wait writer idle then verify lists empty under lock
0x020350c2,sub_020350c2,UNKNOWN,low,14,6,0,read 16-bit little-endian field at byte offset
0x020350d0,reverse_byte_copy,MEMLIB,low,24,10,0,copy bytes forward into descending destination buffer
0x020350e8,list_link_pair,RTOS,low,6,3,0,cross-link two doubly-linked list nodes
0x020350ee,timer_modify_by_id,RTOS,med,186,59,0,"find timer by id in list, update expiry"
0x020351a8,chip_id_read_bytes,SYS,low,18,7,0,read bytes from chip ID/efuse SFR block
0x020351ba,list_insert_after,RTOS,med,12,5,0,insert node after given doubly-linked list node
0x020351c6,audio_ana_seq_init,AUDIO_OUT,low,46,12,0,short analog register write sequence then commit
0x020351f4,audio_sfr_block_preset,AUDIO_OUT,low,100,20,0,write six audio block SFR config values
0x02035258,audio_analog_init_mode,AUDIO_OUT,med,756,228,0,write two-mode analog register init table
0x0203554c,audio_coeff_ram_upload,AUDIO_OUT,low,192,58,0,upload 128 32-bit words via indexed register window
0x0203560c,audio_ana_write_pair,AUDIO_OUT,low,36,12,0,write indexed register pair with commit flag
0x02035630,audio_codec_init,AUDIO_OUT,med,2914,915,0,full audio codec register and coefficient init sequence
0x02036192,audio_ana_write_verify,AUDIO_OUT,low,24,10,0,write analog register block and verify echo
0x020361aa,audio_ana_field_set,AUDIO_OUT,low,36,11,0,set 2-bit field in analog register 81
0x020361ce,audio_gain_table_init,AUDIO_OUT,low,410,119,0,upload 128-entry gain table and output stage config
0x02036368,audio_trim_data_load,AUDIO_OUT,low,224,67,0,load 20-byte trim data with rodata default fallback
0x02036448,audio_reg_cmd_write,AUDIO_OUT,low,20,6,0,compose and write command word to audio SFR
0x0203645c,hwreg_indexed_write_pair,PERIPH,low,28,13,0,"writes packed config to indexed SFR regs 6,7"
0x02036478,os_obj_init_register,RTOS,med,104,36,0,"init 40B object with magic guards, link into registry"
0x020364e0,os_msg_alloc_enqueue,RTOS,med,154,52,0,"alloc 20B node, enqueue onto locked system queue"
0x0203657a,list_add_after,RTOS,high,12,5,0,insert node after given list element
0x02036586,mem_pool_init,RTOS,med,66,23,0,init pool free-list with single aligned block
0x020365c8,hw_str_hash_feed,PERIPH,low,86,31,0,"feed string bytes to hash engine, read digest"
0x0203661e,device_register_named,SYS,med,90,36,0,"dedupe by name-hash, append node to device list"
0x02036678,fmt_arg_walk_calc,MEMLIB,low,224,83,0,"walk printf-like format, consume varargs, sum size"
0x02036758,list_del_pair,RTOS,high,6,3,0,unlink node by stitching prev/next pointers
0x0203675e,mem_pool_alloc,RTOS,med,190,73,0,first-fit pool allocation with block splitting
0x0203681c,sys_pool_alloc,RTOS,med,38,11,0,allocate from default system pool descriptor
0x02036842,list_add_locked,RTOS,high,102,35,0,insert node at list head inside critical section
0x020368a8,atomic_store_locked,RTOS,med,94,32,0,store pointer word inside critical section
0x02036906,mem_pool_free,RTOS,med,198,73,0,"return block to pool, coalesce adjacent free blocks"
0x020369cc,mem_pool_free_thunk,RTOS,med,6,3,0,tail-call wrapper into pool free
0x020369d2,list_del_init,RTOS,high,14,6,0,unlink node and reinit its links to self
0x020369e0,list_pop_head_locked,RTOS,high,144,50,0,"dequeue head node under lock, null if empty"
0x02036a70,hw_cipher_16b_block,SECURITY,med,372,142,0,"feed 2x16B blocks to crypto engine, read 16B result"
0x02036be4,memcpy_rev16,MEMLIB,med,10,4,0,copy 16 bytes via backward-copy helper
0x02036bee,event_post_by_id_thunk,RTOS,low,10,4,0,dispatch event to listener by 16-bit id
0x02036bf8,obj_ref_inc_link,RTOS,med,112,40,0,"increment refcount, link node on 0-to-1 transition"
0x02036c68,obj_ref_inc_notify,RTOS,low,118,43,0,"saturating refcount inc, clear flag, invoke callback"
0x02036cde,zalloc,RTOS,med,44,14,0,system malloc followed by memset zero
0x02036d0a,zalloc_checked,RTOS,med,20,7,0,"zalloc, hang in panic loop on failure"
0x02036d1e,list_add_after_b,RTOS,high,12,5,0,insert node after given list element
0x02036d2a,event_post_wrap0,RTOS,low,12,5,0,wrapper posting id-0 event via framework dispatcher
0x02036d36,event_listener_set_data,RTOS,med,142,47,0,"find listener by 16-bit id, set private field"
0x02036dc4,msg_node_remove_free,RTOS,med,122,41,0,"unlink node under lock, notify, then free it"
0x02036e3e,list_unlink_free_all,RTOS,med,26,10,0,unlink and pool-free every node of list
0x02036e58,heap_free_thunk,RTOS,low,10,3,0,tail call into main free implementation
0x02036e62,heap_free_thunk2,RTOS,low,6,3,0,second-level tail call into free
0x02036e68,list_del_init_b,RTOS,high,14,6,0,unlink node and reinit its links to self
0x02036e76,list_del_init_c,RTOS,high,14,6,0,unlink node and reinit its links to self
0x02036e84,list_del_notify_empty,RTOS,med,38,16,0,"unlink node, call list callback if list emptied"
0x02036eaa,list_free_all_locked,RTOS,med,112,38,0,pool-free each node's buffer under critical section
0x02036f1a,device_list_poll,SYS,low,76,29,0,"call flagged node handlers, compute minimum level"
0x02036f66,device_list_poll_thunk,SYS,low,6,3,0,tail call into device list poll
0x02036f6c,pmu_charge_manage,POWER,med,1200,375,0,"periodic P33 PMU register config, charge state machine"
0x0203741c,hex_nibble_ascii,MEMLIB,high,28,9,0,convert 0-15 nibble to hex ASCII char
0x02037438,atomic_inc_locked,RTOS,high,96,32,0,increment word at arg inside critical section
0x02037498,atomic_dec_update_locked,RTOS,med,206,71,0,hw-spinlocked refcount decrement and byte-field update helper
0x02037566,crc16_hw_thunk,MATHLIB,med,8,3,0,tail-call thunk to hardware CRC16 engine routine
0x0203756e,atomic_or_flags_locked,RTOS,med,132,51,0,spinlocked OR of bit 0x8 into object flags
0x020375f2,att_build_value_response,BT,med,48,17,0,build ATT response: 3-byte header plus MTU-clamped value
0x02037622,att_error_response,BT,high,20,8,0,"write ATT error response (opcode 0x01, req-op, handle, err)"
0x02037636,att_error_invalid_handle,BT,med,8,4,0,ATT error response thunk with code 0x01 invalid handle
0x0203763e,att_db_iterator_advance,BT,med,98,38,0,"decode attribute record fields, advance GATT database iterator"
0x020376a0,att_error_attribute_not_found,BT,med,8,4,0,ATT error response thunk with code 0x0A
0x020376a8,uuid128_is_bluetooth_base,BT,high,40,15,0,test 128-bit UUID against standard Bluetooth base UUID
0x020376d0,att_uuid16_match,BT,med,50,21,0,compare attribute record UUID with 16-bit UUID value
0x02037702,att_uuid_match,BT,med,100,39,0,match attribute UUID of 2- or 16-byte length
0x02037766,att_server_check_permission,BT,high,68,29,0,map attribute permission flags to ATT error code
0x020377aa,att_service_for_handle,BT,high,58,19,0,find GATT service whose handle range contains handle
0x020377e4,att_service_read_callback,BT,med,20,8,0,return service read-callback pointer or global default
0x020377f8,att_read_dynamic_value,BT,med,38,18,0,invoke dynamic read callback and cache value length
0x0203781e,att_read_attribute_value,BT,med,80,35,0,copy attribute value to buffer or via dynamic callback
0x0203786e,att_error_read_not_permitted,BT,med,10,4,0,ATT error response thunk with code 0x02
0x02037878,att_find_attribute_by_handle,BT,med,46,19,0,iterate GATT database to locate attribute by handle
0x020378a6,att_service_write_callback,BT,med,20,8,0,return service write-callback pointer or global default
0x020378ba,att_error_write_not_permitted,BT,med,10,4,0,ATT error response thunk with code 0x03
0x020378c4,att_invoke_registered_callbacks,BT,med,90,35,0,call each registered ATT client callback then default
0x0203791e,att_notify_clients_event3,BT,low,8,4,0,thunk notifying registered ATT clients with event 3
0x02037926,att_server_handle_request,BT,high,2416,805,0,"ATT server PDU dispatcher for opcodes 0x02-0x18,0x52"
0x02038296,aes_hw_block_transform,SECURITY,high,242,95,0,single 128-bit AES block via crypto SFR 0x41200
0x02038388,aes_ccm_encrypt_auth,SECURITY,med,468,168,0,AES-CCM CBC-MAC plus CTR mode over hardware AES
0x0203855c,aes_ccm_hw_entry,SECURITY,med,206,66,0,load AES key under hardware mutex then run CCM
0x0203862a,list_add_tail,MEMLIB,high,12,5,0,insert node before head of doubly-linked list
0x02038636,atomic_inc_return_locked,RTOS,med,100,35,0,spinlock-protected object refcount increment
0x0203869a,list_del_init,MEMLIB,high,14,6,0,unlink doubly-linked list node and reinitialize it
0x020386a8,jlstream_obj_unlink_free,AUDIO_OUT,med,90,30,0,locked unlink of stream object node then free
0x02038702,jlstream_object_create,AUDIO_OUT,med,716,230,0,name-keyed stream node/pipeline create and destroy
0x020389ce,jlstream_pipeline_task,AUDIO_OUT,med,768,241,0,post node event message; pipeline data-pump worker loop
0x02038cce,jlstream_node_get_info,AUDIO_OUT,med,84,32,0,query node info string via callback under mutex
0x02038d22,strncasecmp_pos,MEMLIB,high,82,29,0,case-insensitive bounded string compare returning match position
0x02038d74,jlstream_node_type_lookup,AUDIO_OUT,med,126,51,0,resolve node type name via aliases to registry entry
0x02038df2,jlstream_node_type_probe,AUDIO_OUT,med,66,23,0,scan node type registry calling probe until accepted
0x02038e34,jlstream_state_slot_alloc,AUDIO_OUT,med,156,53,0,allocate per-instance stream state slot under lock
0x02038ed0,ilog2_ceil,MATHLIB,high,18,8,0,compute bit index of highest set bit of value
0x02038ee2,jlstream_node_open,AUDIO_OUT,med,1764,552,0,"instantiate stream node: bind ops, alloc buffers, subscribe"
0x020395c6,jlstream_node_start,AUDIO_OUT,med,182,62,0,wait for buffer ready then issue node start ioctls
0x0203967c,jlstream_node_flush,AUDIO_OUT,med,100,37,0,"transition node state, issue control ioctls to downstream node"
0x020396e0,jlstream_node_release_buffers,AUDIO_OUT,low,50,16,0,release node input/resample/downstream sub-buffers during teardown
0x02039712,jlstream_node_op_call,AUDIO_OUT,low,26,11,0,trampoline invoking node op-table callback with packed args
0x0203972c,jlstream_node_command_dispatch,AUDIO_OUT,med,1724,528,0,jlstream node command dispatcher: start/stop/link/param via jump table
